iterationName	gameid	time	blueSquare1	blueSquare2	redSquare1	redSquare2	target	finalRole	eventType
experiment2_pilot	1831-c53a6cbf-07c5-4ae0-808b-39ac577469e3	1525117893764	false	true	false	false	kepu	speaker	postTest_word
experiment2_pilot	1831-c53a6cbf-07c5-4ae0-808b-39ac577469e3	1525117896952	true	false	false	false	lalu	speaker	postTest_word
experiment2_pilot	1831-c53a6cbf-07c5-4ae0-808b-39ac577469e3	1525117899382	false	false	true	false	peke	speaker	postTest_word
experiment2_pilot	1831-c53a6cbf-07c5-4ae0-808b-39ac577469e3	1525117905371	false	false	false	false	kuhe	speaker	postTest_word
experiment2_pilot	1831-c53a6cbf-07c5-4ae0-808b-39ac577469e3	1525117910262	true	true	false	false	nupo	speaker	postTest_word
experiment2_pilot	1831-c53a6cbf-07c5-4ae0-808b-39ac577469e3	1525117913129	false	false	true	true	gano	speaker	postTest_word
experiment2_pilot	1831-c53a6cbf-07c5-4ae0-808b-39ac577469e3	1525117915406	false	false	false	false	goka	speaker	postTest_word
experiment2_pilot	1831-c53a6cbf-07c5-4ae0-808b-39ac577469e3	1525117917958	false	false	false	false	wige	speaker	postTest_word
experiment2_pilot	1831-c53a6cbf-07c5-4ae0-808b-39ac577469e3	1525117926452	false	false	false	false	hemu	speaker	postTest_word
experiment2_pilot	1831-c53a6cbf-07c5-4ae0-808b-39ac577469e3	1525117926455	false	false	false	false	gepi	speaker	postTest_word
experiment2_pilot	1831-c53a6cbf-07c5-4ae0-808b-39ac577469e3	1525117926456	false	false	false	false	lomo	speaker	postTest_word
experiment2_pilot	1831-c53a6cbf-07c5-4ae0-808b-39ac577469e3	1525117941004	false	false	false	false	muga	speaker	postTest_word
experiment2_pilot	1831-c53a6cbf-07c5-4ae0-808b-39ac577469e3	1525117941006	false	false	false	false	kihu	speaker	postTest_word
experiment2_pilot	1831-c53a6cbf-07c5-4ae0-808b-39ac577469e3	1525117941008	false	false	false	false	wupe	speaker	postTest_word
experiment2_pilot	1831-c53a6cbf-07c5-4ae0-808b-39ac577469e3	1525117941010	false	false	false	false	kana	speaker	postTest_word
experiment2_pilot	1831-c53a6cbf-07c5-4ae0-808b-39ac577469e3	1525117941011	false	false	false	true	wewe	speaker	postTest_word
experiment2_pilot	1831-c53a6cbf-07c5-4ae0-808b-39ac577469e3	1525117983128	false	true	false	false	kepu	listener	postTest_word
experiment2_pilot	1831-c53a6cbf-07c5-4ae0-808b-39ac577469e3	1525117986689	true	false	false	false	lalu	listener	postTest_word
experiment2_pilot	1831-c53a6cbf-07c5-4ae0-808b-39ac577469e3	1525117991354	false	false	true	false	peke	listener	postTest_word
experiment2_pilot	1831-c53a6cbf-07c5-4ae0-808b-39ac577469e3	1525117993893	false	false	false	false	kuhe	listener	postTest_word
experiment2_pilot	1831-c53a6cbf-07c5-4ae0-808b-39ac577469e3	1525117998178	false	false	false	false	nupo	listener	postTest_word
experiment2_pilot	1831-c53a6cbf-07c5-4ae0-808b-39ac577469e3	1525117999299	false	false	false	false	gano	listener	postTest_word
experiment2_pilot	1831-c53a6cbf-07c5-4ae0-808b-39ac577469e3	1525118002294	false	false	false	false	goka	listener	postTest_word
experiment2_pilot	1831-c53a6cbf-07c5-4ae0-808b-39ac577469e3	1525118005052	false	false	false	false	wige	listener	postTest_word
