iterationName	gameid	time	blueSquare1	blueSquare2	redSquare1	redSquare2	target	finalRole	eventType
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118036359	true	true	false	false	miha	listener	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118038385	false	false	true	false	nupe	listener	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118040696	false	false	true	true	nihi	listener	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118042839	false	true	false	false	lami	listener	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118045020	true	false	false	false	wola	listener	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118047570	false	true	false	false	polu	listener	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118049709	true	false	false	false	liku	listener	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118053359	true	false	false	false	mewo	listener	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118059676	false	false	false	true	nolo	listener	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118062013	true	false	false	false	leho	listener	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118063299	true	true	false	false	miha	speaker	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118064446	false	false	true	false	gige	listener	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118066066	false	false	false	false	nupe	speaker	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118068100	false	true	false	false	winu	listener	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118069061	false	false	true	true	nihi	speaker	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118070646	false	false	true	false	huni	listener	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118071340	true	false	false	false	lami	speaker	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118073343	false	false	false	false	wola	speaker	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118074648	false	false	true	true	kuwu	listener	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118075487	false	true	false	false	polu	speaker	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118077593	false	false	false	false	liku	speaker	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118078133	false	false	false	true	pawa	listener	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118079724	false	false	false	false	mewo	speaker	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118081742	false	false	true	false	nolo	speaker	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118083990	false	false	false	false	leho	speaker	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118084020	true	true	false	false	mawe	listener	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118087536	false	true	false	false	gige	speaker	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118090056	false	false	false	false	winu	speaker	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118092803	false	false	false	false	huni	speaker	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118094925	false	false	false	false	kuwu	speaker	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118097955	false	false	false	true	pawa	speaker	postTest_word
experiment2_pilot	0709-4cf8de49-483f-4f0b-afc7-a7f355b89684	1525118100090	false	false	false	true	mawe	speaker	postTest_word
