iterationName	gameid	time	stimulusHalf	condition	intendedName	trialNum	text	timeFromRoundStart	repetition	eventType
experiment2_pilot	4459-42b7ce13-0ed8-4612-91f8-219143bdb9d3	1531847940972	square	mixed	blueSquare2	1	gemi	51007	0	drop
experiment2_pilot	4459-42b7ce13-0ed8-4612-91f8-219143bdb9d3	1531847975501	square	mixed	blueSquare1	2	numu	15383	0	drop
experiment2_pilot	4459-42b7ce13-0ed8-4612-91f8-219143bdb9d3	1531847997110	square	mixed	redSquare1	3	kame	5234	0	drop
experiment2_pilot	4459-42b7ce13-0ed8-4612-91f8-219143bdb9d3	1531848009184	square	mixed	blueSquare2	4	gemi	3783	1	drop
experiment2_pilot	4459-42b7ce13-0ed8-4612-91f8-219143bdb9d3	1531848022176	square	mixed	blueSquares	5	lewo	3212	0	drop
experiment2_pilot	4459-42b7ce13-0ed8-4612-91f8-219143bdb9d3	1531848034029	square	mixed	redSquare2	6	higa	4227	0	drop
experiment2_pilot	4459-42b7ce13-0ed8-4612-91f8-219143bdb9d3	1531848044656	square	mixed	blueSquare1	7	kame	3155	1	drop
experiment2_pilot	4459-42b7ce13-0ed8-4612-91f8-219143bdb9d3	1531848057948	square	mixed	redSquare2	8	higa	5482	1	drop
experiment2_pilot	4459-42b7ce13-0ed8-4612-91f8-219143bdb9d3	1531848072058	square	mixed	redSquares	9	higa	5590	0	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848009151	circle	mixed	spottedCircle2	1	kona	11626	0	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848055811	circle	mixed	stripedCircle1	2	popo	28534	0	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848082827	circle	mixed	stripedCircle2	3	gelu	17045	0	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848113109	circle	mixed	spottedCircles	4	haho	18543	0	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848136385	circle	mixed	spottedCircle1	5	higu	10448	0	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848162192	circle	mixed	stripedCircles	6	haho	13607	0	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848181395	circle	mixed	spottedCircle2	7	kona	5936	1	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848216339	circle	mixed	spottedCircles	8	nene	11301	1	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848238935	circle	mixed	stripedCircle2	9	gelu	12266	1	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848262099	circle	mixed	spottedCircle1	10	popo	8828	1	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848281781	circle	mixed	stripedCircles	11	haho	8798	1	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848310078	circle	mixed	stripedCircle1	12	gelu	11651	1	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848322698	circle	mixed	stripedCircle2	13	gelu	4918	2	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848346731	circle	mixed	stripedCircles	14	haho	8671	2	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848363378	circle	mixed	spottedCircle1	15	kona	4368	2	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848384745	circle	mixed	spottedCircle2	16	nene	9723	2	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848402126	circle	mixed	stripedCircle2	17	kona	7389	3	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848425887	circle	mixed	stripedCircle1	18	gelu	12071	2	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848443757	circle	mixed	spottedCircles	19	haho	8536	2	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848462880	circle	mixed	stripedCircles	20	popo	6779	3	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848487247	circle	mixed	spottedCircle1	22	hope	10326	3	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848503565	circle	mixed	spottedCircles	23	haho	8658	3	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848528718	circle	mixed	stripedCircle1	24	gelu	9970	3	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848542404	circle	mixed	spottedCircle1	25	hope	4565	4	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848567577	circle	mixed	spottedCircles	26	haho	11716	4	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848585508	circle	mixed	stripedCircle1	27	gelu	7967	4	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848597631	circle	mixed	spottedCircle1	28	hope	3649	5	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848609603	circle	mixed	spottedCircle2	29	kona	4830	4	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848634017	circle	mixed	stripedCircle2	30	kona	8717	4	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848647893	circle	mixed	stripedCircle1	31	gelu	5430	5	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848667286	circle	mixed	spottedCircle2	32	kona	9328	5	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848690049	circle	mixed	stripedCircles	33	popo	14169	4	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848708789	circle	mixed	spottedCircles	34	haho	5160	5	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848721549	circle	mixed	stripedCircles	35	popo	3840	5	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848738053	circle	mixed	stripedCircle2	36	kona	6157	5	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848748356	circle	mixed	stripedCircles	37	popo	3197	6	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848764558	circle	mixed	stripedCircle1	38	gelu	6352	6	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848776169	circle	mixed	spottedCircle1	39	hope	3294	6	drop
experiment2_pilot	1651-acffe01b-d16b-4eff-b0bd-384dfe86bccb	1531848790165	circle	mixed	spottedCircles	40	haho	4105	6	drop
