iterationName	gameid	time	stimulusHalf	condition	intendedName	trialNum	text	timeFromRoundStart	repetition	eventType
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961137485	circle	mixed	spottedCircle2	1	puge	13884	0	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961157166	circle	mixed	stripedCircle2	2	wuma	8481	0	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961172038	circle	mixed	spottedCircle1	3	piwi	6020	0	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961186573	circle	mixed	spottedCircles	4	piwi	6403	0	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961205395	circle	mixed	stripedCircles	5	kuke	8131	0	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961220223	circle	mixed	stripedCircle1	6	kuke	4519	0	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961242177	circle	mixed	stripedCircles	7	kola	9319	1	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961257410	circle	mixed	spottedCircle1	8	gelo	7926	1	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961278171	circle	mixed	spottedCircles	9	gelo	9955	1	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961292375	circle	mixed	spottedCircle2	10	nomu	6683	1	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961323196	circle	mixed	stripedCircle2	11	huwo	14302	1	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961339815	circle	mixed	stripedCircle1	12	puge	9735	1	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961370121	circle	mixed	stripedCircles	13	wuma	17211	2	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961379303	circle	mixed	spottedCircle2	14	puge	2939	2	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961405604	circle	mixed	stripedCircle2	15	gelo	17032	2	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961414628	circle	mixed	spottedCircle2	16	gogi	2320	3	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961434682	circle	mixed	stripedCircle1	17	huwo	10614	2	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961445458	circle	mixed	stripedCircle2	18	puge	3324	3	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961461591	circle	mixed	stripedCircle1	19	huwo	6198	3	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961473176	circle	mixed	spottedCircle1	20	kola	4345	2	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961505578	circle	mixed	spottedCircles	21	piwi	22733	2	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961535006	circle	mixed	stripedCircles	22	wuma	22165	3	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961560480	circle	mixed	spottedCircle1	23	kola	11064	3	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961570183	circle	mixed	spottedCircles	24	puge	3248	3	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961602091	circle	mixed	stripedCircles	25	huwo	19378	4	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961627271	circle	mixed	spottedCircle1	26	huwo	18197	4	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961644580	circle	mixed	spottedCircle2	27	gogi	8158	4	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961656199	circle	mixed	stripedCircle2	28	nomu	4424	4	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961678394	circle	mixed	stripedCircles	29	huwo	9925	5	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961690999	circle	mixed	spottedCircle2	30	wuma	5178	5	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961726745	circle	mixed	stripedCircle1	31	piwi	12701	4	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961737372	circle	mixed	stripedCircle2	32	puge	1890	5	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961756174	circle	mixed	spottedCircles	33	kuke	8099	4	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961769426	circle	mixed	stripedCircle1	34	kuke	4924	5	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961796634	circle	mixed	spottedCircle1	35	kola	9084	5	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961810956	circle	mixed	spottedCircles	36	gelo	6965	5	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961840677	circle	mixed	spottedCircle2	37	kuke	6153	6	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961851124	circle	mixed	stripedCircles	38	puge	3870	6	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961875072	circle	mixed	spottedCircle1	39	kola	13228	6	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961883393	circle	mixed	stripedCircle2	40	wuma	1478	6	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961904969	circle	mixed	stripedCircles	41	gogi	8194	7	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961913071	circle	mixed	spottedCircle1	42	wuma	1870	7	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961934385	circle	mixed	spottedCircles	43	gelo	10507	6	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961943158	circle	mixed	stripedCircle2	44	huwo	2052	7	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961963335	circle	mixed	spottedCircle2	45	kuke	7925	7	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961971494	circle	mixed	stripedCircle1	46	puge	1683	6	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961988586	circle	mixed	spottedCircles	47	gelo	6679	7	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531961997446	circle	mixed	stripedCircle1	48	wuma	2787	7	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531962015656	circle	mixed	spottedCircles	49	gelo	3950	8	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531962033316	circle	mixed	stripedCircles	50	wuma	9084	8	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531962059341	circle	mixed	spottedCircle1	51	kola	12350	8	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531962068109	circle	mixed	stripedCircle2	52	wuma	3099	8	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531962088514	circle	mixed	spottedCircle2	53	kuke	9486	8	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531962101801	circle	mixed	stripedCircles	54	wuma	6931	9	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531962116929	circle	mixed	spottedCircle1	55	kola	6062	9	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531962126360	circle	mixed	stripedCircle2	56	piwi	2591	9	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531962140788	circle	mixed	stripedCircle1	57	puge	4956	8	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531962150825	circle	mixed	spottedCircles	58	wuma	4139	9	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531962166057	circle	mixed	spottedCircle2	59	kuke	5390	9	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531962174824	circle	mixed	stripedCircle1	60	huwo	2302	9	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531962193147	circle	mixed	spottedCircle2	61	kuke	5227	10	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531962202417	circle	mixed	stripedCircle2	62	kola	2365	10	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531962217546	circle	mixed	spottedCircles	63	gelo	6114	10	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531962234445	circle	mixed	spottedCircle1	64	wuma	10407	10	drop
experiment2_pilot	7020-abfded1e-e835-4d9d-a84e-68b460810c40	1531962250973	circle	mixed	spottedCircles	65	gelo	4692	11	drop
