iterationName	gameid	time	guhi	luku	mami	kigu	hiwi	loga	hoki	moka	pula	nowu	nine	pepe	wego	gigi	lahu	pina	target	finalRole	eventType
experiment1-testing	8402-8555b01e-67e3-4ebb-815b-bbf295d686cc	1516413048220	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	blueSquare1	listener	postTest_object
experiment1-testing	8402-8555b01e-67e3-4ebb-815b-bbf295d686cc	1516413051493	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	blueSquare2	listener	postTest_object
experiment1-testing	8402-8555b01e-67e3-4ebb-815b-bbf295d686cc	1516413054363	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	redSquare1	listener	postTest_object
experiment1-testing	8402-8555b01e-67e3-4ebb-815b-bbf295d686cc	1516413057639	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	redSquare2	listener	postTest_object
experiment1-testing	8402-8555b01e-67e3-4ebb-815b-bbf295d686cc	1516413060947	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	spottedCircle1	listener	postTest_object
experiment1-testing	8402-8555b01e-67e3-4ebb-815b-bbf295d686cc	1516413063387	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	spottedCircle2	listener	postTest_object
experiment1-testing	8402-8555b01e-67e3-4ebb-815b-bbf295d686cc	1516413065832	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	stripedCircle1	listener	postTest_object
experiment1-testing	8402-8555b01e-67e3-4ebb-815b-bbf295d686cc	1516413068281	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	stripedCircle2	listener	postTest_object
experiment1-testing	8402-8555b01e-67e3-4ebb-815b-bbf295d686cc	1516413103416	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1-testing	8402-8555b01e-67e3-4ebb-815b-bbf295d686cc	1516413106474	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	blueSquare2	speaker	postTest_object
experiment1-testing	8402-8555b01e-67e3-4ebb-815b-bbf295d686cc	1516413108506	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	redSquare1	speaker	postTest_object
experiment1-testing	8402-8555b01e-67e3-4ebb-815b-bbf295d686cc	1516413110656	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	redSquare2	speaker	postTest_object
experiment1-testing	8402-8555b01e-67e3-4ebb-815b-bbf295d686cc	1516413112747	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	spottedCircle1	speaker	postTest_object
experiment1-testing	8402-8555b01e-67e3-4ebb-815b-bbf295d686cc	1516413115869	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	spottedCircle2	speaker	postTest_object
experiment1-testing	8402-8555b01e-67e3-4ebb-815b-bbf295d686cc	1516413118599	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	stripedCircle1	speaker	postTest_object
experiment1-testing	8402-8555b01e-67e3-4ebb-815b-bbf295d686cc	1516413120603	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	stripedCircle2	speaker	postTest_object
