iterationName	gameid	time	object1name	object1speakerX	object1speakerY	object1listenerX	object1listenerY	object2name	object2speakerX	object2speakerY	object2listenerX	object2listenerY	object3name	object3speakerX	object3speakerY	object3listenerX	object3listenerY	object4name	object4speakerX	object4speakerY	object4listenerX	object4listenerY	intendedName	clickedName	trialNum	correct	condition	contextType	eventType
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516423924775	blueSquare1	1	2	1	2	redSquare2	1	1	2	1	stripedCircle2	2	2	1	1	stripedCircle1	2	1	2	2	stripedCircle1	blueSquare1	1	false	subOnly	sub	clickedObj
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516423938620	blueSquare1	2	1	2	2	spottedCircle1	1	2	2	1	stripedCircle2	1	1	1	2	spottedCircle2	2	2	1	1	spottedCircle2	blueSquare1	2	false	subOnly	sub	clickedObj
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516423959613	blueSquare1	1	1	1	1	blueSquare2	2	1	1	2	redSquare1	2	2	2	2	redSquare2	1	2	2	1	redSquare2	blueSquare2	3	false	subOnly	sub	clickedObj
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516423977150	stripedCircle1	2	1	2	1	blueSquare1	1	1	1	1	blueSquare2	1	2	1	2	stripedCircle2	2	2	2	2	stripedCircle2	stripedCircle2	4	true	subOnly	sub	clickedObj
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516423992040	redSquare2	2	2	2	2	blueSquare2	1	2	2	1	spottedCircle1	2	1	1	2	redSquare1	1	1	1	1	redSquare1	redSquare2	5	false	subOnly	sub	clickedObj
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424007768	spottedCircle1	2	2	1	1	stripedCircle2	1	1	2	2	blueSquare1	1	2	2	1	blueSquare2	2	1	1	2	blueSquare2	blueSquare2	6	true	subOnly	sub	clickedObj
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424018917	spottedCircle2	2	2	1	1	blueSquare2	2	1	2	1	stripedCircle1	1	1	1	2	blueSquare1	1	2	2	2	blueSquare1	blueSquare1	7	true	subOnly	sub	clickedObj
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424033678	spottedCircle2	1	1	2	2	redSquare1	2	1	1	2	blueSquare1	1	2	1	1	spottedCircle1	2	2	2	1	spottedCircle1	spottedCircle1	8	true	subOnly	sub	clickedObj
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424052893	blueSquare1	1	1	2	2	stripedCircle2	2	2	1	2	spottedCircle1	2	1	2	1	blueSquare2	1	2	1	1	blueSquare2	blueSquare1	9	false	subOnly	sub	clickedObj
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424064817	stripedCircle1	2	1	2	2	blueSquare2	2	2	1	2	stripedCircle2	1	2	1	1	blueSquare1	1	1	2	1	blueSquare1	stripedCircle1	10	false	subOnly	sub	clickedObj
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424078044	blueSquare2	1	1	2	2	blueSquare1	2	1	1	1	stripedCircle2	1	2	1	2	stripedCircle1	2	2	2	1	stripedCircle1	blueSquare2	11	false	subOnly	sub	clickedObj
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424089226	redSquare1	2	1	2	2	spottedCircle1	1	2	1	2	spottedCircle2	2	2	1	1	redSquare2	1	1	2	1	redSquare2	redSquare1	12	false	subOnly	sub	clickedObj
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424100153	stripedCircle2	1	2	1	2	blueSquare1	1	1	1	1	spottedCircle2	2	1	2	2	spottedCircle1	2	2	2	1	spottedCircle1	blueSquare1	13	false	subOnly	sub	clickedObj
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424111233	stripedCircle1	2	1	1	1	spottedCircle1	1	2	2	1	blueSquare1	1	1	2	2	spottedCircle2	2	2	1	2	spottedCircle2	spottedCircle1	14	false	subOnly	sub	clickedObj
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424127499	blueSquare1	1	2	1	1	stripedCircle1	1	1	2	2	spottedCircle2	2	1	1	2	stripedCircle2	2	2	2	1	stripedCircle2	stripedCircle1	15	false	subOnly	sub	clickedObj
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424140637	blueSquare1	2	2	1	2	redSquare2	1	2	2	2	spottedCircle2	1	1	2	1	redSquare1	2	1	1	1	redSquare1	redSquare1	16	true	subOnly	sub	clickedObj
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424160009	blueSquare1	2	2	2	1	redSquare1	1	2	1	1	spottedCircle1	1	1	1	2	spottedCircle2	2	1	2	2	spottedCircle2	redSquare1	17	false	subOnly	sub	clickedObj
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424174483	redSquare2	1	1	2	1	blueSquare1	2	2	2	2	blueSquare2	1	2	1	2	redSquare1	2	1	1	1	redSquare1	redSquare1	18	true	subOnly	sub	clickedObj
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424190479	spottedCircle2	1	2	2	2	redSquare1	2	1	1	1	blueSquare1	1	1	1	2	spottedCircle1	2	2	2	1	spottedCircle1	blueSquare1	19	false	subOnly	sub	clickedObj
