iterationName	gameid	time	object1name	object1speakerX	object1speakerY	object1listenerX	object1listenerY	object2name	object2speakerX	object2speakerY	object2listenerX	object2listenerY	object3name	object3speakerX	object3speakerY	object3listenerX	object3listenerY	object4name	object4speakerX	object4speakerY	object4listenerX	object4listenerY	intendedName	clickedName	trialNum	correct	condition	contextType	eventType
experiment1	0223-62954642-c5a1-4744-909f-2da54b9d07b4	1516428091929	blueSquare1	1	2	1	1	stripedCircle1	2	1	2	2	stripedCircle2	1	1	2	1	redSquare2	2	2	1	2	redSquare2	blueSquare1	1	false	mixedLower	basic	clickedObj
experiment1	0223-62954642-c5a1-4744-909f-2da54b9d07b4	1516428117946	stripedCircle2	1	1	1	1	redSquare1	2	2	1	2	blueSquare2	2	1	2	1	spottedCircle1	1	2	2	2	spottedCircle1	stripedCircle2	2	false	mixedLower	basic	clickedObj
experiment1	0223-62954642-c5a1-4744-909f-2da54b9d07b4	1516428155044	stripedCircle2	2	2	2	1	redSquare1	1	2	1	1	stripedCircle1	2	1	2	2	redSquare2	1	1	1	2	redSquare2	redSquare2	3	true	mixedLower	sub	clickedObj
experiment1	0223-62954642-c5a1-4744-909f-2da54b9d07b4	1516428201276	stripedCircle1	2	1	2	2	spottedCircle1	1	1	1	1	redSquare1	1	2	2	1	blueSquare1	2	2	1	2	blueSquare1	blueSquare1	4	true	mixedLower	basic	clickedObj
experiment1	0223-62954642-c5a1-4744-909f-2da54b9d07b4	1516428242522	spottedCircle1	1	2	2	2	blueSquare2	2	2	1	1	blueSquare1	1	1	2	1	stripedCircle1	2	1	1	2	stripedCircle1	stripedCircle1	5	true	mixedLower	basic	clickedObj
experiment1	0223-62954642-c5a1-4744-909f-2da54b9d07b4	1516428279250	blueSquare2	1	1	1	2	spottedCircle1	2	2	1	1	redSquare2	2	1	2	1	redSquare1	1	2	2	2	redSquare1	redSquare1	6	true	mixedLower	sub	clickedObj
experiment1	0223-62954642-c5a1-4744-909f-2da54b9d07b4	1516428306234	spottedCircle1	1	1	1	2	blueSquare1	2	1	1	1	stripedCircle2	2	2	2	1	blueSquare2	1	2	2	2	blueSquare2	blueSquare2	7	true	mixedLower	sub	clickedObj
experiment1	0223-62954642-c5a1-4744-909f-2da54b9d07b4	1516428325460	blueSquare1	2	1	1	2	redSquare1	2	2	1	1	spottedCircle1	1	1	2	1	stripedCircle2	1	2	2	2	stripedCircle2	stripedCircle2	8	true	mixedLower	basic	clickedObj
experiment1	0223-62954642-c5a1-4744-909f-2da54b9d07b4	1516428372637	stripedCircle2	1	2	1	1	spottedCircle1	2	2	1	2	blueSquare2	1	1	2	2	blueSquare1	2	1	2	1	blueSquare1	blueSquare1	9	true	mixedLower	sub	clickedObj
experiment1	0223-62954642-c5a1-4744-909f-2da54b9d07b4	1516428404718	redSquare1	1	2	1	2	stripedCircle2	2	1	2	1	blueSquare1	2	2	2	2	stripedCircle1	1	1	1	1	stripedCircle1	stripedCircle1	10	true	mixedLower	sub	clickedObj
experiment1	0223-62954642-c5a1-4744-909f-2da54b9d07b4	1516428445843	spottedCircle2	1	2	2	1	stripedCircle2	1	1	1	2	redSquare2	2	1	2	2	spottedCircle1	2	2	1	1	spottedCircle1	spottedCircle1	11	true	mixedLower	sub	clickedObj
experiment1	0223-62954642-c5a1-4744-909f-2da54b9d07b4	1516428463313	blueSquare2	1	2	2	1	stripedCircle2	2	1	2	2	blueSquare1	2	2	1	1	redSquare1	1	1	1	2	redSquare1	redSquare1	12	true	mixedLower	basic	clickedObj
