iterationName	gameid	time	object1name	object1speakerX	object1speakerY	object1listenerX	object1listenerY	object2name	object2speakerX	object2speakerY	object2listenerX	object2listenerY	object3name	object3speakerX	object3speakerY	object3listenerX	object3listenerY	object4name	object4speakerX	object4speakerY	object4listenerX	object4listenerY	intendedName	clickedName	trialNum	correct	condition	contextType	eventType
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516483376392	blueSquare1	2	1	2	1	blueSquare2	1	2	2	2	spottedCircle2	2	2	1	1	stripedCircle2	1	1	1	2	stripedCircle2	spottedCircle2	1	false	mixedLower	basic	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516483409091	redSquare1	2	1	2	1	redSquare2	1	2	1	1	stripedCircle2	2	2	1	2	spottedCircle2	1	1	2	2	spottedCircle2	redSquare2	2	false	mixedLower	basic	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516483428290	blueSquare2	2	2	1	1	blueSquare1	2	1	2	1	stripedCircle2	1	2	1	2	spottedCircle1	1	1	2	2	spottedCircle1	blueSquare1	3	false	mixedLower	basic	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516483444152	blueSquare1	1	2	2	2	spottedCircle2	2	1	2	1	spottedCircle1	2	2	1	1	stripedCircle1	1	1	1	2	stripedCircle1	spottedCircle2	4	false	mixedLower	basic	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516483471123	redSquare1	1	1	2	2	stripedCircle1	2	2	2	1	blueSquare1	2	1	1	1	stripedCircle2	1	2	1	2	stripedCircle2	stripedCircle2	5	true	mixedLower	sub	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516483516379	spottedCircle2	2	2	2	2	stripedCircle2	2	1	1	1	redSquare2	1	1	2	1	spottedCircle1	1	2	1	2	spottedCircle1	redSquare2	6	false	mixedLower	sub	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516483542069	redSquare1	1	2	1	1	spottedCircle1	1	1	2	2	stripedCircle2	2	1	2	1	stripedCircle1	2	2	1	2	stripedCircle1	stripedCircle2	7	false	mixedLower	sub	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516483598335	spottedCircle1	1	1	2	2	redSquare2	2	2	2	1	spottedCircle2	2	1	1	1	blueSquare2	1	2	1	2	blueSquare2	blueSquare2	8	true	mixedLower	basic	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516483618310	stripedCircle2	2	2	2	1	blueSquare2	2	1	1	1	blueSquare1	1	1	1	2	redSquare2	1	2	2	2	redSquare2	blueSquare1	9	false	mixedLower	basic	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516483660982	blueSquare1	1	1	2	2	blueSquare2	1	2	1	1	spottedCircle1	2	1	1	2	spottedCircle2	2	2	2	1	spottedCircle2	blueSquare1	10	false	mixedLower	sub	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516483700573	redSquare1	2	2	2	1	blueSquare1	1	2	1	1	stripedCircle2	1	1	2	2	redSquare2	2	1	1	2	redSquare2	redSquare2	11	true	mixedLower	sub	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516483725681	blueSquare1	1	2	2	1	spottedCircle2	2	1	2	2	redSquare2	2	2	1	1	redSquare1	1	1	1	2	redSquare1	redSquare1	12	true	mixedLower	sub	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516483748559	spottedCircle2	1	2	1	1	stripedCircle2	2	2	2	2	redSquare1	1	1	2	1	blueSquare1	2	1	1	2	blueSquare1	redSquare1	13	false	mixedLower	basic	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516483767913	blueSquare1	1	2	2	1	spottedCircle2	2	1	1	2	stripedCircle1	1	1	1	1	blueSquare2	2	2	2	2	blueSquare2	blueSquare1	14	false	mixedLower	sub	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516483783039	redSquare1	1	1	2	2	blueSquare2	2	1	1	1	stripedCircle2	2	2	2	1	blueSquare1	1	2	1	2	blueSquare1	blueSquare2	15	false	mixedLower	sub	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516483805646	blueSquare1	2	2	2	1	spottedCircle1	1	1	1	2	stripedCircle2	2	1	1	1	redSquare1	1	2	2	2	redSquare1	redSquare1	16	true	mixedLower	basic	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516483822680	blueSquare1	2	1	2	2	redSquare1	1	1	2	1	stripedCircle2	1	2	1	2	spottedCircle2	2	2	1	1	spottedCircle2	spottedCircle2	17	true	mixedLower	basic	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516483837438	redSquare1	2	2	1	2	blueSquare2	1	2	2	2	spottedCircle2	1	1	1	1	stripedCircle2	2	1	2	1	stripedCircle2	stripedCircle2	18	true	mixedLower	basic	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516483861343	redSquare2	2	2	2	2	stripedCircle1	2	1	2	1	spottedCircle2	1	2	1	1	blueSquare2	1	1	1	2	blueSquare2	blueSquare2	19	true	mixedLower	basic	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516483887956	stripedCircle1	1	1	1	2	stripedCircle2	2	2	1	1	blueSquare2	2	1	2	2	redSquare2	1	2	2	1	redSquare2	stripedCircle2	20	false	mixedLower	basic	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516483922049	redSquare2	2	1	2	1	spottedCircle2	1	2	1	2	stripedCircle2	2	2	2	2	redSquare1	1	1	1	1	redSquare1	redSquare2	21	false	mixedLower	sub	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516483961221	blueSquare2	2	1	2	2	stripedCircle1	1	1	1	2	redSquare1	2	2	2	1	redSquare2	1	2	1	1	redSquare2	redSquare2	22	true	mixedLower	sub	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516483980683	stripedCircle1	1	1	2	1	spottedCircle1	2	2	1	2	blueSquare1	2	1	1	1	redSquare1	1	2	2	2	redSquare1	blueSquare1	23	false	mixedLower	basic	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516484004125	spottedCircle1	2	1	2	1	blueSquare1	1	1	1	1	stripedCircle2	2	2	2	2	stripedCircle1	1	2	1	2	stripedCircle1	stripedCircle1	24	true	mixedLower	sub	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516484032250	stripedCircle2	2	2	1	1	spottedCircle2	1	1	2	1	blueSquare2	1	2	1	2	spottedCircle1	2	1	2	2	spottedCircle1	spottedCircle2	25	false	mixedLower	sub	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516484063192	redSquare2	1	1	1	1	blueSquare2	2	2	2	1	stripedCircle1	2	1	2	2	stripedCircle2	1	2	1	2	stripedCircle2	stripedCircle2	26	true	mixedLower	sub	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516484104230	redSquare2	2	1	2	1	redSquare1	1	1	1	2	spottedCircle2	2	2	2	2	blueSquare1	1	2	1	1	blueSquare1	redSquare1	27	false	mixedLower	basic	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516484126019	blueSquare2	1	2	2	1	spottedCircle1	2	2	1	1	stripedCircle1	2	1	2	2	spottedCircle2	1	1	1	2	spottedCircle2	spottedCircle1	28	false	mixedLower	sub	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516484182990	blueSquare2	1	2	1	2	redSquare2	2	2	2	1	stripedCircle1	1	1	1	1	spottedCircle1	2	1	2	2	spottedCircle1	spottedCircle1	29	true	mixedLower	basic	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516484196720	redSquare1	1	2	1	2	spottedCircle2	2	1	2	1	blueSquare1	2	2	2	2	stripedCircle1	1	1	1	1	stripedCircle1	stripedCircle1	30	true	mixedLower	basic	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516484216611	spottedCircle1	2	1	2	2	blueSquare1	1	2	1	2	stripedCircle2	1	1	2	1	blueSquare2	2	2	1	1	blueSquare2	blueSquare2	31	true	mixedLower	sub	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516484246251	redSquare2	1	2	2	2	redSquare1	2	2	2	1	blueSquare2	1	1	1	1	blueSquare1	2	1	1	2	blueSquare1	blueSquare2	32	false	mixedLower	sub	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516484263670	redSquare1	1	2	1	1	stripedCircle1	2	2	2	2	blueSquare2	2	1	2	1	spottedCircle2	1	1	1	2	spottedCircle2	spottedCircle2	33	true	mixedLower	basic	clickedObj
experiment1	1291-ef0fc662-b11a-4319-a5e0-d7653eca9b86	1516484283127	blueSquare2	2	1	1	1	blueSquare1	1	1	2	1	stripedCircle1	1	2	1	2	spottedCircle1	2	2	2	2	spottedCircle1	spottedCircle1	34	true	mixedLower	basic	clickedObj
