iterationName	gameid	time	object1name	object1speakerX	object1speakerY	object1listenerX	object1listenerY	object2name	object2speakerX	object2speakerY	object2listenerX	object2listenerY	object3name	object3speakerX	object3speakerY	object3listenerX	object3listenerY	object4name	object4speakerX	object4speakerY	object4listenerX	object4listenerY	intendedName	clickedName	trialNum	correct	condition	contextType	eventType
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516427919055	spottedCircle2	1	1	2	2	blueSquare1	2	1	2	1	stripedCircle1	1	2	1	1	spottedCircle1	2	2	1	2	spottedCircle1	blueSquare1	1	false	subOnly	sub	clickedObj
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516427968816	stripedCircle2	1	2	1	2	blueSquare1	2	1	2	2	spottedCircle1	2	2	1	1	stripedCircle1	1	1	2	1	stripedCircle1	stripedCircle1	2	true	subOnly	sub	clickedObj
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516427996389	redSquare2	2	1	1	1	stripedCircle2	2	2	2	2	stripedCircle1	1	1	1	2	redSquare1	1	2	2	1	redSquare1	stripedCircle2	3	false	subOnly	sub	clickedObj
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516428013732	stripedCircle2	1	1	2	2	blueSquare2	2	1	2	1	spottedCircle1	2	2	1	1	blueSquare1	1	2	1	2	blueSquare1	spottedCircle1	4	false	subOnly	sub	clickedObj
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516428042357	redSquare2	1	1	2	2	stripedCircle1	1	2	2	1	redSquare1	2	2	1	1	stripedCircle2	2	1	1	2	stripedCircle2	redSquare2	5	false	subOnly	sub	clickedObj
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516428070068	blueSquare2	1	2	1	1	redSquare2	2	1	1	2	spottedCircle1	2	2	2	2	spottedCircle2	1	1	2	1	spottedCircle2	spottedCircle2	6	true	subOnly	sub	clickedObj
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516428110069	redSquare1	2	2	1	1	spottedCircle1	1	2	1	2	blueSquare2	2	1	2	1	redSquare2	1	1	2	2	redSquare2	redSquare2	7	true	subOnly	sub	clickedObj
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516428134782	blueSquare1	1	1	2	1	redSquare1	2	1	2	2	stripedCircle2	2	2	1	2	blueSquare2	1	2	1	1	blueSquare2	blueSquare2	8	true	subOnly	sub	clickedObj
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516428164405	redSquare1	1	2	2	1	stripedCircle2	2	1	1	1	spottedCircle1	2	2	1	2	stripedCircle1	1	1	2	2	stripedCircle1	redSquare1	9	false	subOnly	sub	clickedObj
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516428193288	blueSquare2	1	2	1	1	spottedCircle1	2	1	1	2	redSquare2	2	2	2	2	redSquare1	1	1	2	1	redSquare1	spottedCircle1	10	false	subOnly	sub	clickedObj
