iterationName	gameid	time	object1name	object1speakerX	object1speakerY	object1listenerX	object1listenerY	object2name	object2speakerX	object2speakerY	object2listenerX	object2listenerY	object3name	object3speakerX	object3speakerY	object3listenerX	object3listenerY	object4name	object4speakerX	object4speakerY	object4listenerX	object4listenerY	intendedName	clickedName	trialNum	correct	condition	contextType	eventType
experiment1	6429-b67bbfca-ce41-433f-bd17-239eee6b0469	1516486866822	stripedCircle2	2	2	1	1	blueSquare1	1	1	2	1	redSquare1	1	2	2	2	redSquare2	2	1	1	2	redSquare2	redSquare2	1	true	subOnly	sub	clickedObj
experiment1	6429-b67bbfca-ce41-433f-bd17-239eee6b0469	1516486889285	stripedCircle1	1	1	1	2	blueSquare2	1	2	2	1	redSquare2	2	1	2	2	stripedCircle2	2	2	1	1	stripedCircle2	stripedCircle1	2	false	subOnly	sub	clickedObj
experiment1	6429-b67bbfca-ce41-433f-bd17-239eee6b0469	1516486902511	blueSquare2	1	2	2	2	stripedCircle2	2	2	1	2	spottedCircle1	2	1	2	1	stripedCircle1	1	1	1	1	stripedCircle1	spottedCircle1	3	false	subOnly	sub	clickedObj
experiment1	6429-b67bbfca-ce41-433f-bd17-239eee6b0469	1516486937794	spottedCircle2	2	2	1	1	blueSquare1	1	1	2	1	redSquare2	1	2	1	2	redSquare1	2	1	2	2	redSquare1	spottedCircle2	4	false	subOnly	sub	clickedObj
experiment1	6429-b67bbfca-ce41-433f-bd17-239eee6b0469	1516486976277	blueSquare2	1	1	1	2	redSquare2	1	2	1	1	spottedCircle1	2	2	2	2	spottedCircle2	2	1	2	1	spottedCircle2	redSquare2	5	false	subOnly	sub	clickedObj
experiment1	6429-b67bbfca-ce41-433f-bd17-239eee6b0469	1516487001987	blueSquare2	2	1	1	2	spottedCircle2	2	2	2	1	redSquare2	1	1	1	1	blueSquare1	1	2	2	2	blueSquare1	redSquare2	6	false	subOnly	sub	clickedObj
experiment1	6429-b67bbfca-ce41-433f-bd17-239eee6b0469	1516487025121	blueSquare1	2	1	2	2	stripedCircle1	1	2	2	1	spottedCircle2	2	2	1	2	spottedCircle1	1	1	1	1	spottedCircle1	spottedCircle1	7	true	subOnly	sub	clickedObj
experiment1	6429-b67bbfca-ce41-433f-bd17-239eee6b0469	1516487046439	spottedCircle2	2	1	1	1	blueSquare1	1	2	2	2	redSquare2	1	1	1	2	blueSquare2	2	2	2	1	blueSquare2	spottedCircle2	8	false	subOnly	sub	clickedObj
experiment1	6429-b67bbfca-ce41-433f-bd17-239eee6b0469	1516487070040	stripedCircle1	1	1	2	2	redSquare2	2	1	2	1	stripedCircle2	2	2	1	2	redSquare1	1	2	1	1	redSquare1	stripedCircle2	9	false	subOnly	sub	clickedObj
experiment1	6429-b67bbfca-ce41-433f-bd17-239eee6b0469	1516487100268	stripedCircle1	2	2	1	2	redSquare1	2	1	2	1	blueSquare1	1	1	2	2	blueSquare2	1	2	1	1	blueSquare2	blueSquare2	10	true	subOnly	sub	clickedObj
experiment1	6429-b67bbfca-ce41-433f-bd17-239eee6b0469	1516487128857	spottedCircle2	2	2	2	2	stripedCircle1	2	1	1	2	redSquare1	1	2	1	1	redSquare2	1	1	2	1	redSquare2	stripedCircle1	11	false	subOnly	sub	clickedObj
experiment1	6429-b67bbfca-ce41-433f-bd17-239eee6b0469	1516487149546	stripedCircle1	1	2	2	2	redSquare2	1	1	1	1	spottedCircle1	2	2	2	1	stripedCircle2	2	1	1	2	stripedCircle2	redSquare2	12	false	subOnly	sub	clickedObj
experiment1	6429-b67bbfca-ce41-433f-bd17-239eee6b0469	1516487165020	stripedCircle2	1	1	2	1	spottedCircle1	1	2	1	2	redSquare1	2	2	1	1	stripedCircle1	2	1	2	2	stripedCircle1	spottedCircle1	13	false	subOnly	sub	clickedObj
experiment1	6429-b67bbfca-ce41-433f-bd17-239eee6b0469	1516487174701	blueSquare2	2	2	2	2	redSquare2	2	1	1	2	redSquare1	1	1	1	1	blueSquare1	1	2	2	1	blueSquare1	redSquare1	14	false	subOnly	sub	clickedObj
