iterationName	gameid	time	object1name	object1speakerX	object1speakerY	object1listenerX	object1listenerY	object2name	object2speakerX	object2speakerY	object2listenerX	object2listenerY	object3name	object3speakerX	object3speakerY	object3listenerX	object3listenerY	object4name	object4speakerX	object4speakerY	object4listenerX	object4listenerY	intendedName	clickedName	trialNum	correct	condition	contextType	eventType
experiment1	2446-609f6604-0fae-4787-99e6-81357d9cdd34	1516423709538	blueSquare2	1	2	2	1	redSquare1	2	2	1	2	stripedCircle2	1	1	2	2	redSquare2	2	1	1	1	redSquare2	redSquare1	1	false	subOnly	sub	clickedObj
experiment1	2446-609f6604-0fae-4787-99e6-81357d9cdd34	1516423769955	spottedCircle1	1	1	1	2	blueSquare2	2	2	1	1	redSquare2	2	1	2	1	blueSquare1	1	2	2	2	blueSquare1	blueSquare1	2	true	subOnly	sub	clickedObj
experiment1	2446-609f6604-0fae-4787-99e6-81357d9cdd34	1516423809290	redSquare1	1	1	1	2	spottedCircle2	2	2	1	1	blueSquare1	1	2	2	1	spottedCircle1	2	1	2	2	spottedCircle1	spottedCircle2	3	false	subOnly	sub	clickedObj
experiment1	2446-609f6604-0fae-4787-99e6-81357d9cdd34	1516423854015	stripedCircle1	1	1	1	2	spottedCircle1	2	1	2	2	spottedCircle2	1	2	2	1	stripedCircle2	2	2	1	1	stripedCircle2	stripedCircle1	4	false	subOnly	sub	clickedObj
experiment1	2446-609f6604-0fae-4787-99e6-81357d9cdd34	1516423894387	stripedCircle2	2	2	2	1	blueSquare1	2	1	1	1	spottedCircle2	1	1	2	2	stripedCircle1	1	2	1	2	stripedCircle1	stripedCircle1	5	true	subOnly	sub	clickedObj
experiment1	2446-609f6604-0fae-4787-99e6-81357d9cdd34	1516423922466	blueSquare2	1	2	1	1	spottedCircle2	1	1	2	1	redSquare2	2	1	2	2	redSquare1	2	2	1	2	redSquare1	redSquare2	6	false	subOnly	sub	clickedObj
experiment1	2446-609f6604-0fae-4787-99e6-81357d9cdd34	1516423985397	stripedCircle1	2	2	1	2	blueSquare1	1	2	2	2	redSquare1	2	1	2	1	blueSquare2	1	1	1	1	blueSquare2	stripedCircle1	7	false	subOnly	sub	clickedObj
experiment1	2446-609f6604-0fae-4787-99e6-81357d9cdd34	1516424041845	redSquare1	2	1	2	2	blueSquare2	1	2	2	1	spottedCircle1	1	1	1	1	spottedCircle2	2	2	1	2	spottedCircle2	spottedCircle1	8	false	subOnly	sub	clickedObj
experiment1	2446-609f6604-0fae-4787-99e6-81357d9cdd34	1516424081195	spottedCircle2	2	1	2	1	redSquare2	1	1	2	2	stripedCircle1	2	2	1	1	spottedCircle1	1	2	1	2	spottedCircle1	spottedCircle2	9	false	subOnly	sub	clickedObj
experiment1	2446-609f6604-0fae-4787-99e6-81357d9cdd34	1516424124837	blueSquare1	2	1	2	2	spottedCircle1	1	1	1	1	stripedCircle1	2	2	1	2	stripedCircle2	1	2	2	1	stripedCircle2	stripedCircle2	10	true	subOnly	sub	clickedObj
