iterationName	gameid	time	blueSquare1	blueSquare2	redSquare1	redSquare2	spottedCircle1	spottedCircle2	stripedCircle1	stripedCircle2	target	finalRole	eventType
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516485858927	false	false	false	false	false	false	false	false	mohe	listener	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516485863213	false	false	false	false	false	false	false	false	nune	listener	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516485865969	false	false	false	false	false	false	false	false	lini	listener	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516485868782	false	false	false	false	false	false	false	false	gume	listener	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516485871500	false	false	false	false	false	false	false	false	meno	listener	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516485875701	true	false	false	false	false	false	false	false	mapa	listener	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516485879152	false	false	false	false	false	false	false	false	hopo	listener	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516485882949	false	false	false	false	false	false	false	true	pinu	listener	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516485886203	false	false	true	false	false	false	false	false	wile	listener	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516485888828	false	false	false	false	false	true	false	false	hawi	listener	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516485891617	false	false	false	true	false	false	false	false	wemi	listener	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516485893730	false	false	false	false	false	false	true	false	wuhu	listener	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516485895951	false	false	false	false	true	false	false	false	hehi	listener	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516485898410	false	false	false	false	false	false	false	false	hugi	listener	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516485902296	false	true	false	false	false	false	false	false	mila	listener	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516485906192	false	false	false	false	false	false	false	false	gogo	listener	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516486012939	false	false	false	false	false	false	false	false	mohe	speaker	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516486015778	false	false	false	false	false	false	false	false	nune	speaker	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516486018776	false	false	false	false	false	false	false	false	lini	speaker	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516486021618	false	false	false	false	false	false	false	false	gume	speaker	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516486033722	true	false	false	false	false	true	false	false	meno	speaker	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516486042034	true	false	false	false	false	false	false	false	mapa	speaker	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516486046999	false	false	false	false	false	false	false	false	hopo	speaker	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516486055787	false	false	false	false	false	false	false	true	pinu	speaker	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516486069954	false	false	true	true	false	true	false	false	wile	speaker	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516486078482	false	false	false	false	false	true	false	false	hawi	speaker	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516486088519	false	false	false	true	true	false	false	false	wemi	speaker	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516486102162	false	false	false	false	false	false	true	false	wuhu	speaker	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516486114907	false	false	false	false	true	false	false	false	hehi	speaker	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516486125878	false	false	false	true	false	false	false	false	hugi	speaker	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516486138686	false	true	false	false	false	false	false	false	mila	speaker	postTest_word
experiment1	8655-68e24d02-4445-41f0-8c1c-40164106e91f	1516486157068	false	false	false	false	false	false	false	false	gogo	speaker	postTest_word
