iterationName	gameid	time	blueSquare1	blueSquare2	redSquare1	redSquare2	spottedCircle1	spottedCircle2	stripedCircle1	stripedCircle2	target	finalRole	eventType
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430177184	false	false	false	false	false	false	true	false	ligi	speaker	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430184279	false	false	false	false	false	true	false	false	guho	speaker	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430188096	false	false	true	false	false	false	false	false	mola	speaker	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430197719	true	false	false	false	false	false	false	false	wopi	speaker	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430200599	false	true	false	false	false	false	false	false	mami	speaker	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430205783	false	false	false	false	false	false	false	true	luhu	speaker	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430209599	false	false	false	false	true	false	false	false	pama	speaker	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430214895	false	false	false	false	false	false	false	true	muli	speaker	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430218247	false	false	false	false	false	true	false	false	nuga	speaker	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430224272	false	false	true	false	false	false	false	false	nohi	speaker	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430229783	false	false	false	true	false	false	false	false	mewe	speaker	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430232039	false	false	false	true	false	false	false	false	kuna	speaker	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430236263	false	false	false	false	true	false	false	false	lamo	speaker	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430238832	true	false	false	false	false	false	false	false	pohe	speaker	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430246127	false	false	false	false	false	false	true	true	pepe	speaker	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430250096	false	false	false	false	false	false	false	true	gagu	speaker	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430263159	false	false	false	false	false	false	true	false	ligi	listener	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430268085	false	false	false	false	false	false	false	true	guho	listener	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430272459	false	false	true	false	false	false	false	false	mola	listener	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430276788	true	false	false	false	false	false	false	false	wopi	listener	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430281357	false	true	false	false	false	false	false	false	mami	listener	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430286092	false	false	false	false	false	true	false	false	luhu	listener	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430292063	false	false	false	false	true	false	false	false	pama	listener	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430300778	false	false	false	false	false	false	false	true	muli	listener	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430306001	false	false	false	false	false	false	false	true	nuga	listener	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430308621	false	false	false	false	false	false	false	true	nohi	listener	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430316538	false	false	false	false	false	false	false	true	mewe	listener	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430320469	false	false	false	true	false	false	false	false	kuna	listener	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430324061	false	false	false	false	false	false	false	true	lamo	listener	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430327550	false	false	false	false	false	false	false	true	pohe	listener	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430329700	false	false	false	false	false	false	false	true	pepe	listener	postTest_word
experiment1	4475-0e38d36a-fc50-43ab-94c7-98e09f829fad	1516430332053	false	false	false	false	false	false	false	true	gagu	listener	postTest_word
