iterationName	gameid	time	blueSquare1	blueSquare2	redSquare1	redSquare2	spottedCircle1	spottedCircle2	stripedCircle1	stripedCircle2	target	finalRole	eventType
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433774398	false	false	true	false	false	false	false	false	lilu	speaker	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433784121	false	false	false	false	false	false	false	false	mupa	speaker	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433791705	false	false	false	false	false	false	true	true	pepe	speaker	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433797793	false	false	false	false	true	true	false	false	wupu	speaker	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433805113	false	false	false	true	false	false	false	false	puwe	speaker	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433806847	false	false	true	false	false	false	false	false	lilu	listener	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433813376	false	false	false	false	false	false	false	false	mupa	listener	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433815678	false	false	false	false	true	true	false	false	wiwo	speaker	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433817414	false	false	false	false	false	false	true	true	pepe	listener	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433821164	false	false	false	false	true	true	false	false	wupu	listener	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433824484	false	false	false	true	false	false	false	false	puwe	listener	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433824530	false	false	false	false	false	false	false	false	guki	speaker	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433828631	false	false	false	false	false	false	false	false	gole	speaker	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433828742	false	false	false	false	false	true	false	false	wiwo	listener	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433831415	false	false	false	false	false	false	false	false	guki	listener	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433831905	false	false	false	false	false	false	false	false	mono	speaker	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433833374	false	false	false	false	false	false	false	false	gole	listener	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433835161	false	false	false	false	false	false	false	false	gihi	speaker	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433835565	false	false	false	false	false	false	false	false	mono	listener	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433838145	false	false	false	false	false	false	false	false	nema	speaker	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433838426	false	false	false	false	false	false	false	false	gihi	listener	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433839949	false	false	false	false	false	false	false	false	nema	listener	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433841219	false	false	false	false	false	false	false	false	komo	speaker	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433842157	false	false	false	false	false	false	false	false	komo	listener	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433845431	false	false	false	false	false	false	false	false	gagu	listener	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433846949	false	false	false	false	false	false	false	false	geke	listener	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433849060	false	false	false	false	false	false	false	false	wome	listener	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433851157	true	true	false	false	false	false	false	false	migo	listener	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433851907	false	false	false	false	false	false	false	false	gagu	speaker	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433855263	false	false	false	false	false	false	false	false	geke	speaker	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433858435	false	false	false	false	false	false	false	false	wome	speaker	postTest_word
experiment1	9290-61607b25-83c2-4eec-a616-b8efe2423e9e	1516433862080	true	true	false	false	false	false	false	false	migo	speaker	postTest_word
