iterationName	gameid	time	stimulusHalf	condition	spottedCircle1	spottedCircle2	stripedCircle1	stripedCircle2	target	finalRole	eventType
experiment2_pilot	6090-f747b4bd-054e-497e-82c1-6c681266db06	1531852074186	circle	mixed	true	false	true	false	nuna	speaker	postTest_word
experiment2_pilot	6090-f747b4bd-054e-497e-82c1-6c681266db06	1531852080506	circle	mixed	false	false	true	true	pami	speaker	postTest_word
experiment2_pilot	6090-f747b4bd-054e-497e-82c1-6c681266db06	1531852081094	circle	mixed	false	false	true	false	kopa	listener	postTest_word
experiment2_pilot	6090-f747b4bd-054e-497e-82c1-6c681266db06	1531852083683	circle	mixed	false	false	true	false	kopa	speaker	postTest_word
experiment2_pilot	6090-f747b4bd-054e-497e-82c1-6c681266db06	1531852089153	circle	mixed	true	true	false	false	hoho	speaker	postTest_word
experiment2_pilot	6090-f747b4bd-054e-497e-82c1-6c681266db06	1531852094844	circle	mixed	false	false	false	true	wiwi	speaker	postTest_word
experiment2_pilot	6090-f747b4bd-054e-497e-82c1-6c681266db06	1531852099635	circle	mixed	false	false	true	true	nipi	speaker	postTest_word
experiment2_pilot	6090-f747b4bd-054e-497e-82c1-6c681266db06	1531852106706	circle	mixed	true	false	false	true	liki	speaker	postTest_word
experiment2_pilot	6090-f747b4bd-054e-497e-82c1-6c681266db06	1531852111771	circle	mixed	false	true	false	false	kinu	speaker	postTest_word
experiment2_pilot	6090-f747b4bd-054e-497e-82c1-6c681266db06	1531852115344	circle	mixed	true	false	false	false	lego	speaker	postTest_word
experiment2_pilot	6090-f747b4bd-054e-497e-82c1-6c681266db06	1531852120097	circle	mixed	true	false	true	false	nuna	listener	postTest_word
experiment2_pilot	6090-f747b4bd-054e-497e-82c1-6c681266db06	1531852123758	circle	mixed	false	true	false	false	kinu	listener	postTest_word
experiment2_pilot	6090-f747b4bd-054e-497e-82c1-6c681266db06	1531852129070	circle	mixed	true	false	false	false	lego	listener	postTest_word
experiment2_pilot	6090-f747b4bd-054e-497e-82c1-6c681266db06	1531852134895	circle	mixed	true	true	false	false	hoho	listener	postTest_word
experiment2_pilot	6090-f747b4bd-054e-497e-82c1-6c681266db06	1531852149256	circle	mixed	false	true	false	true	liki	listener	postTest_word
experiment2_pilot	6090-f747b4bd-054e-497e-82c1-6c681266db06	1531852155922	circle	mixed	false	false	false	true	wiwi	listener	postTest_word
experiment2_pilot	6090-f747b4bd-054e-497e-82c1-6c681266db06	1531852177887	circle	mixed	true	true	true	true	nipi	listener	postTest_word
experiment2_pilot	6090-f747b4bd-054e-497e-82c1-6c681266db06	1531852189630	circle	mixed	false	false	true	true	pami	listener	postTest_word
