iterationName	gameid	time	stimulusHalf	condition	spottedCircle1	spottedCircle2	stripedCircle1	stripedCircle2	target	finalRole	eventType
experiment2_pilot	9859-3070b546-af5d-4a99-b352-bd1e4c784400	1531872843492	circle	mixed	false	false	true	true	wula	listener	postTest_word
experiment2_pilot	9859-3070b546-af5d-4a99-b352-bd1e4c784400	1531872850277	circle	mixed	true	false	true	false	goki	speaker	postTest_word
experiment2_pilot	9859-3070b546-af5d-4a99-b352-bd1e4c784400	1531872851810	circle	mixed	true	true	false	false	guhu	listener	postTest_word
experiment2_pilot	9859-3070b546-af5d-4a99-b352-bd1e4c784400	1531872854558	circle	mixed	false	false	true	true	wula	speaker	postTest_word
experiment2_pilot	9859-3070b546-af5d-4a99-b352-bd1e4c784400	1531872858803	circle	mixed	false	false	false	false	goki	listener	postTest_word
experiment2_pilot	9859-3070b546-af5d-4a99-b352-bd1e4c784400	1531872860019	circle	mixed	true	true	false	false	guhu	speaker	postTest_word
experiment2_pilot	9859-3070b546-af5d-4a99-b352-bd1e4c784400	1531872862578	circle	mixed	false	false	true	true	wili	speaker	postTest_word
experiment2_pilot	9859-3070b546-af5d-4a99-b352-bd1e4c784400	1531872864645	circle	mixed	true	false	false	false	mupo	speaker	postTest_word
experiment2_pilot	9859-3070b546-af5d-4a99-b352-bd1e4c784400	1531872865561	circle	mixed	false	false	false	true	wili	listener	postTest_word
experiment2_pilot	9859-3070b546-af5d-4a99-b352-bd1e4c784400	1531872866699	circle	mixed	false	true	false	false	nama	speaker	postTest_word
experiment2_pilot	9859-3070b546-af5d-4a99-b352-bd1e4c784400	1531872869266	circle	mixed	true	false	true	false	gene	speaker	postTest_word
experiment2_pilot	9859-3070b546-af5d-4a99-b352-bd1e4c784400	1531872869342	circle	mixed	false	false	false	false	gene	listener	postTest_word
experiment2_pilot	9859-3070b546-af5d-4a99-b352-bd1e4c784400	1531872872641	circle	mixed	false	false	false	false	kahe	speaker	postTest_word
experiment2_pilot	9859-3070b546-af5d-4a99-b352-bd1e4c784400	1531872875133	circle	mixed	true	true	false	false	mawu	speaker	postTest_word
experiment2_pilot	9859-3070b546-af5d-4a99-b352-bd1e4c784400	1531872876719	circle	mixed	false	true	false	false	mupo	listener	postTest_word
experiment2_pilot	9859-3070b546-af5d-4a99-b352-bd1e4c784400	1531872896236	circle	mixed	false	true	false	false	mawu	listener	postTest_word
experiment2_pilot	9859-3070b546-af5d-4a99-b352-bd1e4c784400	1531872900111	circle	mixed	true	false	false	false	nama	listener	postTest_word
experiment2_pilot	9859-3070b546-af5d-4a99-b352-bd1e4c784400	1531872903518	circle	mixed	false	false	false	false	kahe	listener	postTest_word
