iterationName	gameid	time	blueSquare1	blueSquare2	redSquare1	redSquare2	target	finalRole	eventType
experiment2_pilot	4734-f025690d-3b0f-41fd-8656-6c11c57afcd4	1525118495007	true	false	false	false	wuwu	speaker	postTest_word
experiment2_pilot	4734-f025690d-3b0f-41fd-8656-6c11c57afcd4	1525118497436	true	false	false	false	honu	speaker	postTest_word
experiment2_pilot	4734-f025690d-3b0f-41fd-8656-6c11c57afcd4	1525118503987	false	true	false	false	kuha	speaker	postTest_word
experiment2_pilot	4734-f025690d-3b0f-41fd-8656-6c11c57afcd4	1525118508359	true	true	false	false	wewo	speaker	postTest_word
experiment2_pilot	4734-f025690d-3b0f-41fd-8656-6c11c57afcd4	1525118510897	false	false	false	false	gune	speaker	postTest_word
experiment2_pilot	4734-f025690d-3b0f-41fd-8656-6c11c57afcd4	1525118513946	false	false	false	false	nuge	speaker	postTest_word
experiment2_pilot	4734-f025690d-3b0f-41fd-8656-6c11c57afcd4	1525118516567	true	true	false	false	pewe	speaker	postTest_word
experiment2_pilot	4734-f025690d-3b0f-41fd-8656-6c11c57afcd4	1525118519238	true	false	false	false	nehu	speaker	postTest_word
experiment2_pilot	4734-f025690d-3b0f-41fd-8656-6c11c57afcd4	1525118521364	false	false	false	false	wike	speaker	postTest_word
experiment2_pilot	4734-f025690d-3b0f-41fd-8656-6c11c57afcd4	1525118523510	false	false	false	false	hago	speaker	postTest_word
experiment2_pilot	4734-f025690d-3b0f-41fd-8656-6c11c57afcd4	1525118525638	false	false	false	false	kohi	speaker	postTest_word
experiment2_pilot	4734-f025690d-3b0f-41fd-8656-6c11c57afcd4	1525118527826	false	false	false	true	mile	speaker	postTest_word
experiment2_pilot	4734-f025690d-3b0f-41fd-8656-6c11c57afcd4	1525118530135	false	false	false	true	keku	speaker	postTest_word
experiment2_pilot	4734-f025690d-3b0f-41fd-8656-6c11c57afcd4	1525118536126	true	true	false	false	pawi	speaker	postTest_word
experiment2_pilot	4734-f025690d-3b0f-41fd-8656-6c11c57afcd4	1525118538310	false	false	true	false	kipe	speaker	postTest_word
experiment2_pilot	4734-f025690d-3b0f-41fd-8656-6c11c57afcd4	1525118542384	false	false	true	true	mepu	speaker	postTest_word
experiment2_pilot	4734-f025690d-3b0f-41fd-8656-6c11c57afcd4	1525118570325	false	false	true	true	wuwu	listener	postTest_word
experiment2_pilot	4734-f025690d-3b0f-41fd-8656-6c11c57afcd4	1525118578285	true	true	false	false	honu	listener	postTest_word
experiment2_pilot	4734-f025690d-3b0f-41fd-8656-6c11c57afcd4	1525118581733	true	false	false	false	kuha	listener	postTest_word
experiment2_pilot	4734-f025690d-3b0f-41fd-8656-6c11c57afcd4	1525118585493	false	true	false	false	wewo	listener	postTest_word
