iterationName	gameid	time	stimulusHalf	condition	blueSquare1	blueSquare2	redSquare1	redSquare2	target	finalRole	eventType
experiment2_pilot	0818-cdc0b60a-7f78-42db-a0a5-95a671f78c1c	1531960034844	square	mixed	false	false	true	false	peke	listener	postTest_word
experiment2_pilot	0818-cdc0b60a-7f78-42db-a0a5-95a671f78c1c	1531960039851	square	mixed	false	false	false	true	guka	listener	postTest_word
experiment2_pilot	0818-cdc0b60a-7f78-42db-a0a5-95a671f78c1c	1531960042371	square	mixed	true	false	false	false	mipo	listener	postTest_word
experiment2_pilot	0818-cdc0b60a-7f78-42db-a0a5-95a671f78c1c	1531960047985	square	mixed	false	false	false	false	mamo	listener	postTest_word
experiment2_pilot	0818-cdc0b60a-7f78-42db-a0a5-95a671f78c1c	1531960050619	square	mixed	false	true	false	false	hagu	listener	postTest_word
experiment2_pilot	0818-cdc0b60a-7f78-42db-a0a5-95a671f78c1c	1531960054165	square	mixed	false	false	false	false	nama	listener	postTest_word
experiment2_pilot	0818-cdc0b60a-7f78-42db-a0a5-95a671f78c1c	1531960056138	square	mixed	false	false	false	false	wuko	speaker	postTest_word
experiment2_pilot	0818-cdc0b60a-7f78-42db-a0a5-95a671f78c1c	1531960060219	square	mixed	false	false	false	true	guka	speaker	postTest_word
experiment2_pilot	0818-cdc0b60a-7f78-42db-a0a5-95a671f78c1c	1531960061191	square	mixed	false	false	false	false	wuko	listener	postTest_word
experiment2_pilot	0818-cdc0b60a-7f78-42db-a0a5-95a671f78c1c	1531960065803	square	mixed	false	false	true	true	wega	listener	postTest_word
experiment2_pilot	0818-cdc0b60a-7f78-42db-a0a5-95a671f78c1c	1531960065810	square	mixed	false	false	true	true	wega	speaker	postTest_word
experiment2_pilot	0818-cdc0b60a-7f78-42db-a0a5-95a671f78c1c	1531960069491	square	mixed	true	false	false	false	mipo	speaker	postTest_word
experiment2_pilot	0818-cdc0b60a-7f78-42db-a0a5-95a671f78c1c	1531960073571	square	mixed	false	false	false	false	mamo	speaker	postTest_word
experiment2_pilot	0818-cdc0b60a-7f78-42db-a0a5-95a671f78c1c	1531960073904	square	mixed	true	true	false	false	lolo	listener	postTest_word
experiment2_pilot	0818-cdc0b60a-7f78-42db-a0a5-95a671f78c1c	1531960076307	square	mixed	false	false	true	false	peke	speaker	postTest_word
experiment2_pilot	0818-cdc0b60a-7f78-42db-a0a5-95a671f78c1c	1531960079131	square	mixed	false	false	false	false	nama	speaker	postTest_word
experiment2_pilot	0818-cdc0b60a-7f78-42db-a0a5-95a671f78c1c	1531960081803	square	mixed	false	true	false	false	hagu	speaker	postTest_word
experiment2_pilot	0818-cdc0b60a-7f78-42db-a0a5-95a671f78c1c	1531960084186	square	mixed	true	true	false	false	lolo	speaker	postTest_word
