iterationName	gameid	time	stimulusHalf	condition	blueSquare1	blueSquare2	redSquare1	redSquare2	target	finalRole	eventType
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531850941314	square	mixed	true	false	false	false	nepu	speaker	postTest_word
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531850952962	square	mixed	false	true	false	false	memi	speaker	postTest_word
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531850955928	square	mixed	true	true	false	false	gumo	speaker	postTest_word
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531850957682	square	mixed	false	false	false	false	nepu	listener	postTest_word
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531850963200	square	mixed	false	false	false	true	hiwa	speaker	postTest_word
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531850964389	square	mixed	false	false	false	true	hiwa	listener	postTest_word
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531850967193	square	mixed	false	false	false	false	memi	listener	postTest_word
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531850968633	square	mixed	false	false	true	false	kaki	speaker	postTest_word
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531850970029	square	mixed	false	true	false	false	lige	listener	postTest_word
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531850972348	square	mixed	false	false	false	false	mipi	listener	postTest_word
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531850973816	square	mixed	false	true	false	false	lige	speaker	postTest_word
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531850976210	square	mixed	true	true	false	false	gumo	listener	postTest_word
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531850976839	square	mixed	false	false	true	true	nuha	speaker	postTest_word
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531850981165	square	mixed	false	false	true	true	wigo	speaker	postTest_word
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531850982289	square	mixed	false	false	true	false	nuha	listener	postTest_word
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531850986364	square	mixed	false	false	true	true	wigo	listener	postTest_word
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531850986931	square	mixed	true	true	false	false	mipi	speaker	postTest_word
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531850990382	square	mixed	false	false	true	false	kaki	listener	postTest_word
