iterationName	gameid	time	stimulusHalf	condition	blueSquare1	blueSquare2	redSquare1	redSquare2	target	finalRole	eventType
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531961992657	square	mixed	false	false	true	true	loni	listener	postTest_word
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531962001067	square	mixed	false	true	false	false	womo	listener	postTest_word
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531962011010	square	mixed	false	false	false	true	lego	listener	postTest_word
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531962013929	square	mixed	false	false	false	false	huko	listener	postTest_word
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531962017385	square	mixed	false	false	false	false	lame	listener	postTest_word
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531962021791	square	mixed	false	false	true	false	luki	listener	postTest_word
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531962024428	square	mixed	false	false	true	false	lame	speaker	postTest_word
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531962026070	square	mixed	true	true	false	false	kupe	listener	postTest_word
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531962027671	square	mixed	false	false	true	false	luki	speaker	postTest_word
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531962029010	square	mixed	false	false	false	false	gapu	listener	postTest_word
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531962032726	square	mixed	true	true	false	false	kupe	speaker	postTest_word
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531962032969	square	mixed	true	false	false	false	mina	listener	postTest_word
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531962036942	square	mixed	false	false	false	false	huko	speaker	postTest_word
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531962040083	square	mixed	false	false	true	true	loni	speaker	postTest_word
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531962044492	square	mixed	false	true	false	false	womo	speaker	postTest_word
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531962047768	square	mixed	false	false	false	true	lego	speaker	postTest_word
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531962050408	square	mixed	false	false	false	false	gapu	speaker	postTest_word
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531962055191	square	mixed	true	false	false	false	mina	speaker	postTest_word
