iterationName	gameid	time	stimulusHalf	condition	object1name	object1speakerX	object1speakerY	object1listenerX	object1listenerY	object2name	object2speakerX	object2speakerY	object2listenerX	object2listenerY	object3name	object3speakerX	object3speakerY	object3listenerX	object3listenerY	object4name	object4speakerX	object4speakerY	object4listenerX	object4listenerY	intendedName	clickedName	trialNum	correct	repetition	contextType	eventType
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531960867591	square	mixed	blueSquare1	1	1	1	2	blueSquare2	1	2	1	1	redSquare1	2	1	2	2	redSquare2	2	2	2	1	redSquares	blueSquare1	1	false	0	set	clickedObj
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531960882413	square	mixed	redSquare1	1	2	1	2	blueSquare1	2	1	2	1	blueSquare2	2	2	1	1	redSquare2	1	1	2	2	redSquare2	redSquare1,redSquare2	2	false	0	singleton	clickedObj
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531960896452	square	mixed	blueSquare1	2	1	2	1	redSquare1	1	1	1	1	redSquare2	2	2	1	2	blueSquare2	1	2	2	2	blueSquare2	blueSquare1	3	false	0	singleton	clickedObj
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531960912621	square	mixed	redSquare2	2	2	2	1	blueSquare2	1	1	1	1	blueSquare1	2	1	2	2	redSquare1	1	2	1	2	redSquare1	redSquare2	4	false	0	singleton	clickedObj
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531960927113	square	mixed	blueSquare2	2	2	1	1	redSquare2	1	2	2	1	redSquare1	1	1	2	2	blueSquare1	2	1	1	2	blueSquare1	blueSquare1	5	true	0	singleton	clickedObj
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531960940194	square	mixed	redSquare1	2	1	1	1	blueSquare1	1	1	1	2	blueSquare2	1	2	2	1	redSquare2	2	2	2	2	redSquare2	redSquare1	6	false	1	singleton	clickedObj
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531960954025	square	mixed	blueSquare1	2	1	1	1	redSquare1	2	2	2	1	redSquare2	1	1	1	2	blueSquare2	1	2	2	2	blueSquare2	blueSquare2	7	true	1	singleton	clickedObj
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531960966301	square	mixed	blueSquare2	1	2	2	1	redSquare2	2	1	2	2	redSquare1	2	2	1	1	blueSquare1	1	1	1	2	blueSquare1	blueSquare1	8	true	1	singleton	clickedObj
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531960981405	square	mixed	redSquare2	1	2	2	2	redSquare1	1	1	1	1	blueSquare1	2	2	2	1	blueSquare2	2	1	1	2	blueSquares	redSquare1,blueSquare2	9	false	0	set	clickedObj
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531960999014	square	mixed	blueSquare2	2	2	2	2	blueSquare1	2	1	1	1	redSquare1	1	2	1	2	redSquare2	1	1	2	1	redSquares	redSquare1,redSquare2	10	true	1	set	clickedObj
experiment2_pilot	8906-45b6d842-e6a9-499b-bf26-b4c993418fd4	1531961010794	square	mixed	redSquare1	1	2	1	2	redSquare2	2	1	2	2	blueSquare1	2	2	1	1	blueSquare2	1	1	2	1	blueSquares	blueSquare1,blueSquare2	11	true	1	set	clickedObj
