iterationName	gameid	time	stimulusHalf	condition	object1name	object1speakerX	object1speakerY	object1listenerX	object1listenerY	object2name	object2speakerX	object2speakerY	object2listenerX	object2listenerY	object3name	object3speakerX	object3speakerY	object3listenerX	object3listenerY	object4name	object4speakerX	object4speakerY	object4listenerX	object4listenerY	intendedName	clickedName	trialNum	correct	repetition	contextType	eventType
experiment2_pilot	2023-c7a6c686-1d54-4940-8481-50f7f445da0f	1531850439805	square	mixed	blueSquare1	2	1	1	1	blueSquare2	1	1	2	1	redSquare1	2	2	1	2	redSquare2	1	2	2	2	redSquares	blueSquare1	1	false	0	set	clickedObj
experiment2_pilot	2023-c7a6c686-1d54-4940-8481-50f7f445da0f	1531850521633	square	mixed	redSquare1	1	1	1	1	blueSquare1	1	2	1	2	blueSquare2	2	1	2	1	redSquare2	2	2	2	2	redSquare2	blueSquare1	2	false	0	singleton	clickedObj
experiment2_pilot	2023-c7a6c686-1d54-4940-8481-50f7f445da0f	1531850531998	square	mixed	redSquare2	1	1	2	1	redSquare1	2	1	1	1	blueSquare1	2	2	2	2	blueSquare2	1	2	1	2	blueSquares	redSquare2	3	false	0	set	clickedObj
experiment2_pilot	2023-c7a6c686-1d54-4940-8481-50f7f445da0f	1531850541673	square	mixed	redSquare1	1	2	2	2	blueSquare2	1	1	1	1	blueSquare1	2	1	2	1	redSquare2	2	2	1	2	redSquare2	blueSquare2	4	false	1	singleton	clickedObj
experiment2_pilot	2023-c7a6c686-1d54-4940-8481-50f7f445da0f	1531850553257	square	mixed	blueSquare2	1	1	1	1	redSquare1	2	1	2	1	redSquare2	1	2	2	2	blueSquare1	2	2	1	2	blueSquare1	redSquare1	5	false	0	singleton	clickedObj
experiment2_pilot	2023-c7a6c686-1d54-4940-8481-50f7f445da0f	1531850570569	square	mixed	blueSquare1	1	2	1	1	blueSquare2	2	1	2	2	redSquare1	2	2	1	2	redSquare2	1	1	2	1	redSquares	redSquare2	6	false	1	set	clickedObj
experiment2_pilot	2023-c7a6c686-1d54-4940-8481-50f7f445da0f	1531850597446	square	mixed	blueSquare1	2	1	2	2	redSquare1	1	2	1	1	redSquare2	1	1	2	1	blueSquare2	2	2	1	2	blueSquare2	redSquare1,redSquare2	7	false	0	singleton	clickedObj
experiment2_pilot	2023-c7a6c686-1d54-4940-8481-50f7f445da0f	1531850610322	square	mixed	blueSquare2	1	1	1	1	redSquare2	2	1	1	2	redSquare1	2	2	2	2	blueSquare1	1	2	2	1	blueSquare1	redSquare2	8	false	1	singleton	clickedObj
experiment2_pilot	2023-c7a6c686-1d54-4940-8481-50f7f445da0f	1531850623956	square	mixed	redSquare2	2	1	1	1	blueSquare2	1	1	2	2	blueSquare1	1	2	2	1	redSquare1	2	2	1	2	redSquare1	blueSquare1,redSquare1	9	false	0	singleton	clickedObj
experiment2_pilot	2023-c7a6c686-1d54-4940-8481-50f7f445da0f	1531850643103	square	mixed	redSquare2	1	2	2	1	redSquare1	1	1	1	2	blueSquare1	2	2	1	1	blueSquare2	2	1	2	2	blueSquares	redSquare1	10	false	1	set	clickedObj
experiment2_pilot	2023-c7a6c686-1d54-4940-8481-50f7f445da0f	1531850673716	square	mixed	redSquare2	2	1	2	1	blueSquare2	1	1	1	1	blueSquare1	1	2	1	2	redSquare1	2	2	2	2	redSquare1	redSquare2	11	false	1	singleton	clickedObj
experiment2_pilot	2023-c7a6c686-1d54-4940-8481-50f7f445da0f	1531850687851	square	mixed	blueSquare1	1	2	2	1	redSquare1	2	1	2	2	redSquare2	2	2	1	2	blueSquare2	1	1	1	1	blueSquare2	blueSquare2	12	true	1	singleton	clickedObj
experiment2_pilot	2023-c7a6c686-1d54-4940-8481-50f7f445da0f	1531850702487	square	mixed	redSquare1	1	2	2	1	redSquare2	2	2	1	2	blueSquare1	1	1	1	1	blueSquare2	2	1	2	2	blueSquares	blueSquare1	13	false	2	set	clickedObj
experiment2_pilot	2023-c7a6c686-1d54-4940-8481-50f7f445da0f	1531850721083	square	mixed	blueSquare2	1	1	2	2	redSquare2	1	2	2	1	redSquare1	2	1	1	1	blueSquare1	2	2	1	2	blueSquare1	redSquare2	14	false	2	singleton	clickedObj
experiment2_pilot	2023-c7a6c686-1d54-4940-8481-50f7f445da0f	1531850740565	square	mixed	redSquare2	1	2	2	2	blueSquare2	2	1	2	1	blueSquare1	2	2	1	1	redSquare1	1	1	1	2	redSquare1	blueSquare1,redSquare1	15	false	2	singleton	clickedObj
experiment2_pilot	2023-c7a6c686-1d54-4940-8481-50f7f445da0f	1531850755360	square	mixed	redSquare1	1	2	1	1	blueSquare1	2	2	1	2	blueSquare2	2	1	2	2	redSquare2	1	1	2	1	redSquare2	blueSquare1	16	false	2	singleton	clickedObj
experiment2_pilot	2023-c7a6c686-1d54-4940-8481-50f7f445da0f	1531850777367	square	mixed	blueSquare2	1	2	2	1	redSquare1	2	1	1	2	redSquare2	1	1	1	1	blueSquare1	2	2	2	2	blueSquare1	blueSquare1	17	true	3	singleton	clickedObj
experiment2_pilot	2023-c7a6c686-1d54-4940-8481-50f7f445da0f	1531850805982	square	mixed	blueSquare1	2	1	2	1	redSquare2	1	1	1	1	redSquare1	1	2	1	2	blueSquare2	2	2	2	2	blueSquare2	redSquare1	18	false	2	singleton	clickedObj
