iterationName	gameid	time	stimulusHalf	condition	object1name	object1speakerX	object1speakerY	object1listenerX	object1listenerY	object2name	object2speakerX	object2speakerY	object2listenerX	object2listenerY	object3name	object3speakerX	object3speakerY	object3listenerX	object3listenerY	object4name	object4speakerX	object4speakerY	object4listenerX	object4listenerY	intendedName	clickedName	trialNum	correct	repetition	contextType	eventType
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531849322715	square	mixed	blueSquare2	1	1	1	1	redSquare2	2	2	2	1	redSquare1	1	2	1	2	blueSquare1	2	1	2	2	blueSquare1	blueSquare2	1	false	0	singleton	clickedObj
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531849352497	square	mixed	redSquare2	2	1	1	1	blueSquare2	2	2	2	2	blueSquare1	1	2	2	1	redSquare1	1	1	1	2	redSquare1	redSquare2	2	false	0	singleton	clickedObj
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531849365444	square	mixed	blueSquare2	2	2	1	2	redSquare1	1	2	2	2	redSquare2	2	1	2	1	blueSquare1	1	1	1	1	blueSquare1	blueSquare1	3	true	1	singleton	clickedObj
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531849396689	square	mixed	redSquare1	2	1	1	2	blueSquare2	1	1	2	1	blueSquare1	2	2	2	2	redSquare2	1	2	1	1	redSquare2	redSquare1,redSquare2	4	false	0	singleton	clickedObj
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531849439441	square	mixed	redSquare2	1	2	2	2	redSquare1	2	2	1	2	blueSquare1	1	1	1	1	blueSquare2	2	1	2	1	blueSquares	blueSquare2	5	false	0	set	clickedObj
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531849469633	square	mixed	blueSquare1	1	1	2	1	redSquare2	1	2	2	2	redSquare1	2	1	1	2	blueSquare2	2	2	1	1	blueSquare2	blueSquare2,blueSquare1	6	false	0	singleton	clickedObj
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531849486565	square	mixed	redSquare2	1	2	2	2	blueSquare1	1	1	2	1	blueSquare2	2	1	1	2	redSquare1	2	2	1	1	redSquare1	redSquare1,redSquare2	7	false	1	singleton	clickedObj
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531849508524	square	mixed	blueSquare1	1	1	1	1	blueSquare2	1	2	2	1	redSquare1	2	2	2	2	redSquare2	2	1	1	2	redSquares	redSquare1	8	false	0	set	clickedObj
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531849536355	square	mixed	blueSquare1	2	2	1	2	redSquare1	1	1	2	1	redSquare2	1	2	2	2	blueSquare2	2	1	1	1	blueSquare2	blueSquare1,redSquare1	9	false	1	singleton	clickedObj
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531849554539	square	mixed	blueSquare2	2	1	1	2	blueSquare1	1	1	2	2	redSquare1	1	2	2	1	redSquare2	2	2	1	1	redSquares	redSquare1	10	false	1	set	clickedObj
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531849573371	square	mixed	redSquare1	1	1	1	2	blueSquare1	2	1	2	1	blueSquare2	1	2	2	2	redSquare2	2	2	1	1	redSquare2	redSquare1	11	false	1	singleton	clickedObj
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531849596521	square	mixed	redSquare1	1	2	1	1	redSquare2	1	1	2	1	blueSquare1	2	2	1	2	blueSquare2	2	1	2	2	blueSquares	blueSquare2,blueSquare1	12	true	1	set	clickedObj
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531849609605	square	mixed	redSquare2	2	2	1	1	blueSquare1	1	2	2	2	blueSquare2	2	1	1	2	redSquare1	1	1	2	1	redSquare1	redSquare2,redSquare1	13	false	2	singleton	clickedObj
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531849632349	square	mixed	blueSquare1	1	2	2	2	redSquare2	2	2	2	1	redSquare1	2	1	1	1	blueSquare2	1	1	1	2	blueSquare2	blueSquare2,redSquare1	14	false	2	singleton	clickedObj
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531849652787	square	mixed	redSquare1	2	1	2	2	blueSquare2	2	2	2	1	blueSquare1	1	1	1	2	redSquare2	1	2	1	1	redSquare2	redSquare2	15	true	2	singleton	clickedObj
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531849672833	square	mixed	redSquare1	1	2	2	2	redSquare2	1	1	2	1	blueSquare1	2	1	1	2	blueSquare2	2	2	1	1	blueSquares	blueSquare2	16	false	2	set	clickedObj
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531849698247	square	mixed	blueSquare2	1	1	1	2	redSquare2	1	2	2	2	redSquare1	2	1	2	1	blueSquare1	2	2	1	1	blueSquare1	blueSquare1,redSquare1	17	false	2	singleton	clickedObj
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531849719700	square	mixed	redSquare2	1	2	2	1	blueSquare1	2	1	1	2	blueSquare2	2	2	1	1	redSquare1	1	1	2	2	redSquare1	redSquare1,redSquare2	18	false	3	singleton	clickedObj
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531849736615	square	mixed	blueSquare1	1	1	2	1	blueSquare2	2	1	1	2	redSquare1	1	2	2	2	redSquare2	2	2	1	1	redSquares	redSquare1	19	false	2	set	clickedObj
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531849776946	square	mixed	redSquare1	2	2	2	2	blueSquare1	2	1	1	2	blueSquare2	1	1	1	1	redSquare2	1	2	2	1	redSquare2	redSquare2	20	true	3	singleton	clickedObj
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531849794878	square	mixed	blueSquare2	1	1	1	1	redSquare1	1	2	2	1	redSquare2	2	1	1	2	blueSquare1	2	2	2	2	blueSquare1	blueSquare1	21	true	3	singleton	clickedObj
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531849820495	square	mixed	blueSquare1	2	2	1	2	blueSquare2	1	1	1	1	redSquare1	1	2	2	1	redSquare2	2	1	2	2	redSquares	redSquare1	22	false	3	set	clickedObj
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531849840704	square	mixed	redSquare2	1	2	1	2	redSquare1	2	1	1	1	blueSquare1	1	1	2	2	blueSquare2	2	2	2	1	blueSquares	blueSquare2,blueSquare1	23	true	3	set	clickedObj
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531849864435	square	mixed	blueSquare1	1	1	2	1	redSquare2	2	1	1	2	redSquare1	2	2	2	2	blueSquare2	1	2	1	1	blueSquare2	redSquare1	24	false	3	singleton	clickedObj
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531849879051	square	mixed	redSquare1	2	2	1	2	blueSquare1	1	2	1	1	blueSquare2	2	1	2	1	redSquare2	1	1	2	2	redSquare2	redSquare2	25	true	4	singleton	clickedObj
experiment2_pilot	6490-86f6bd87-4fbd-4918-916d-1667e77cfc2d	1531849906167	square	mixed	blueSquare2	2	1	1	1	redSquare1	1	1	2	2	redSquare2	1	2	2	1	blueSquare1	2	2	1	2	blueSquare1	redSquare2,blueSquare2	26	false	4	singleton	clickedObj
