iterationName	gameid	time	intendedName	trialNum	text	timeFromRoundStart	eventType
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516423922463	stripedCircle1	1	gogo	62603	drop
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516423937093	spottedCircle2	2	humo	7202	drop
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516423958085	redSquare2	3	nuli	14424	drop
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516423973178	stripedCircle2	4	nihe	8469	drop
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516423991878	redSquare1	5	nuli	9698	drop
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424003360	blueSquare2	6	hewa	6192	drop
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424017724	blueSquare1	7	hohi	4921	drop
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424030577	spottedCircle1	8	papi	6562	drop
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424051709	blueSquare2	9	mani	12991	drop
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424063207	blueSquare1	10	hewa	5217	drop
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424075943	stripedCircle1	11	nuli	6094	drop
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424085980	redSquare2	12	wine	2846	drop
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424098910	spottedCircle1	13	hewa	4646	drop
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424108816	spottedCircle2	14	papi	3570	drop
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424125015	stripedCircle2	15	hohi	8753	drop
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424138851	redSquare1	16	lele	6184	drop
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424158632	spottedCircle2	17	hina	12963	drop
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424173681	redSquare1	18	lele	8565	drop
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424188863	spottedCircle1	19	humo	9352	drop
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424198127	stripedCircle1	20	gogo	2557	drop
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424216639	redSquare2	21	lume	10049	drop
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424228413	stripedCircle2	22	newo	4166	drop
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424249976	blueSquare1	23	lume	14305	drop
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424266795	blueSquare2	24	hewa	8578	drop
experiment1	7611-717c232c-93d6-4e37-9f40-0837f09534ac	1516424285561	spottedCircle2	25	hohi	11559	drop
