iterationName	gameid	time	intendedName	trialNum	text	timeFromRoundStart	eventType
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516420351450	blueSquare1	1	golu	30555	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516420399869	spottedCircle2	2	wilo	18458	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516420466252	stripedCircle1	3	pohi	52918	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516420535433	spottedCircle1	4	mopo	59302	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516420559866	redSquare1	5	mopo	8025	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516420578190	redSquare2	6	kuko	11432	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516420644429	blueSquare2	7	pohi	28086	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516420687423	stripedCircle2	8	puka	28196	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516420706167	redSquare2	9	kuko	8539	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516420727273	stripedCircle1	10	pohi	9261	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516420755908	spottedCircle1	11	mopo	16824	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516420789496	blueSquare2	12	kipu	22938	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516420868434	spottedCircle2	13	puka	69899	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516420899229	stripedCircle2	14	wilo	9384	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516420946178	redSquare1	15	kuko	15936	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516420978655	blueSquare1	16	golu	11145	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516420994627	blueSquare2	17	kipu	8056	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516421026038	blueSquare1	18	golu	19460	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516421052419	redSquare1	19	kuko	17935	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516421111279	redSquare2	20	leke	44282	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516421138410	stripedCircle2	21	wilo	9530	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516421159115	spottedCircle2	22	wilo	8279	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516421180304	spottedCircle1	23	mopo	10962	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516421200472	stripedCircle1	24	pohi	8337	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516421223715	redSquare2	25	leke	8033	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516421244624	stripedCircle2	26	puka	13083	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516421265853	spottedCircle1	27	mopo	5616	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516421287769	stripedCircle1	28	pohi	11667	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516421306551	redSquare1	29	kuko	9216	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516421328200	spottedCircle2	30	wilo	11752	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516421342652	blueSquare2	31	kipu	5960	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516421365499	blueSquare1	32	golu	11453	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516421385378	redSquare1	33	kuko	8637	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516421402401	redSquare2	34	leke	8822	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516421415849	spottedCircle1	35	mopo	4792	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516421432335	stripedCircle2	36	puka	7749	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516421451793	spottedCircle2	37	wilo	9784	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516421472598	blueSquare2	38	kipu	12583	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516421488734	stripedCircle1	39	pohi	8193	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516421504328	blueSquare1	40	golu	7404	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516421517812	spottedCircle1	41	mopo	5086	drop
experiment1	6709-3689f73c-d93a-4405-9b3b-936ca423289e	1516421533401	stripedCircle1	42	pohi	7848	drop
