iterationName	gameid	time	intendedName	trialNum	text	timeFromRoundStart	eventType
experiment1	9774-2c640dc0-e9bc-4fff-83c9-11061f179914	1516480415347	redSquare2	1	mepa	13423	drop
experiment1	9774-2c640dc0-e9bc-4fff-83c9-11061f179914	1516480457807	stripedCircle2	2	hula	15890	drop
experiment1	9774-2c640dc0-e9bc-4fff-83c9-11061f179914	1516480486974	blueSquare2	3	lehu	18063	drop
experiment1	9774-2c640dc0-e9bc-4fff-83c9-11061f179914	1516480511457	stripedCircle1	4	hula	8067	drop
experiment1	9774-2c640dc0-e9bc-4fff-83c9-11061f179914	1516480528727	spottedCircle1	5	guhe	6762	drop
experiment1	9774-2c640dc0-e9bc-4fff-83c9-11061f179914	1516480551392	redSquare1	6	mepa	8413	drop
experiment1	9774-2c640dc0-e9bc-4fff-83c9-11061f179914	1516480576362	blueSquare1	7	lehu	12518	drop
experiment1	9774-2c640dc0-e9bc-4fff-83c9-11061f179914	1516480607291	spottedCircle2	8	haga	22642	drop
experiment1	9774-2c640dc0-e9bc-4fff-83c9-11061f179914	1516480631699	blueSquare2	9	lehu	13042	drop
experiment1	9774-2c640dc0-e9bc-4fff-83c9-11061f179914	1516480646384	stripedCircle1	10	hula	8211	drop
experiment1	9774-2c640dc0-e9bc-4fff-83c9-11061f179914	1516480668790	spottedCircle2	11	haga	12065	drop
experiment1	9774-2c640dc0-e9bc-4fff-83c9-11061f179914	1516480683685	stripedCircle2	12	hula	6267	drop
experiment1	9774-2c640dc0-e9bc-4fff-83c9-11061f179914	1516480702031	redSquare2	13	mepa	8768	drop
experiment1	9774-2c640dc0-e9bc-4fff-83c9-11061f179914	1516480720037	spottedCircle1	14	haga	9888	drop
experiment1	9774-2c640dc0-e9bc-4fff-83c9-11061f179914	1516480738577	blueSquare1	15	lehu	7266	drop
experiment1	9774-2c640dc0-e9bc-4fff-83c9-11061f179914	1516480768643	redSquare1	16	mepa	13940	drop
experiment1	9774-2c640dc0-e9bc-4fff-83c9-11061f179914	1516480788676	stripedCircle1	17	hula	11902	drop
experiment1	9774-2c640dc0-e9bc-4fff-83c9-11061f179914	1516480813111	spottedCircle2	18	haga	6793	drop
experiment1	9774-2c640dc0-e9bc-4fff-83c9-11061f179914	1516480827866	blueSquare1	19	lehu	7016	drop
experiment1	9774-2c640dc0-e9bc-4fff-83c9-11061f179914	1516480840675	stripedCircle2	20	hula	5842	drop
experiment1	9774-2c640dc0-e9bc-4fff-83c9-11061f179914	1516480857498	redSquare1	21	mepa	7709	drop
experiment1	9774-2c640dc0-e9bc-4fff-83c9-11061f179914	1516480872457	redSquare2	22	mepa	6040	drop
