iterationName	gameid	time	stimulusHalf	condition	paho	lake	hili	moni	howu	gule	line	nupi	wimu	target	finalRole	eventType
experiment2_pilot	2506-5f9a6e22-2a88-419e-aae6-09b9fe35631e	1531960048893	square	mixed	false	false	false	false	false	false	false	false	false	undefined	listener	postTest_object
experiment2_pilot	2506-5f9a6e22-2a88-419e-aae6-09b9fe35631e	1531960049848	square	mixed	false	true	false	false	true	false	false	false	false	blueSquare1	speaker	postTest_object
experiment2_pilot	2506-5f9a6e22-2a88-419e-aae6-09b9fe35631e	1531960054823	square	mixed	false	false	false	false	true	false	true	false	false	blueSquare2	speaker	postTest_object
experiment2_pilot	2506-5f9a6e22-2a88-419e-aae6-09b9fe35631e	1531960058005	square	mixed	false	false	false	false	false	false	false	false	false	blueSquare1	listener	postTest_object
experiment2_pilot	2506-5f9a6e22-2a88-419e-aae6-09b9fe35631e	1531960068893	square	mixed	false	false	false	false	false	false	false	false	false	blueSquare1	listener	postTest_object
experiment2_pilot	2506-5f9a6e22-2a88-419e-aae6-09b9fe35631e	1531960071537	square	mixed	false	false	false	false	false	false	false	true	true	redSquare1	speaker	postTest_object
experiment2_pilot	2506-5f9a6e22-2a88-419e-aae6-09b9fe35631e	1531960073005	square	mixed	false	false	false	false	false	false	false	false	false	blueSquare1	listener	postTest_object
experiment2_pilot	2506-5f9a6e22-2a88-419e-aae6-09b9fe35631e	1531960075549	square	mixed	false	false	false	false	false	false	false	false	false	blueSquare1	listener	postTest_object
experiment2_pilot	2506-5f9a6e22-2a88-419e-aae6-09b9fe35631e	1531960075568	square	mixed	false	false	false	false	false	true	false	false	true	redSquare2	speaker	postTest_object
experiment2_pilot	2506-5f9a6e22-2a88-419e-aae6-09b9fe35631e	1531960078325	square	mixed	false	false	false	false	false	false	false	false	false	blueSquare1	listener	postTest_object
experiment2_pilot	2506-5f9a6e22-2a88-419e-aae6-09b9fe35631e	1531960082917	square	mixed	false	false	false	false	false	false	false	false	false	blueSquare1	listener	postTest_object
experiment2_pilot	2506-5f9a6e22-2a88-419e-aae6-09b9fe35631e	1531960085267	square	mixed	false	false	false	false	false	false	false	false	false	blueSquare1	listener	postTest_object
experiment2_pilot	2506-5f9a6e22-2a88-419e-aae6-09b9fe35631e	1531960087340	square	mixed	false	false	false	false	false	false	false	false	false	blueSquare1	listener	postTest_object
experiment2_pilot	2506-5f9a6e22-2a88-419e-aae6-09b9fe35631e	1531960089662	square	mixed	false	false	false	false	false	false	false	false	false	blueSquare1	listener	postTest_object
experiment2_pilot	2506-5f9a6e22-2a88-419e-aae6-09b9fe35631e	1531960091988	square	mixed	false	false	false	false	false	false	false	false	false	blueSquare1	listener	postTest_object
experiment2_pilot	2506-5f9a6e22-2a88-419e-aae6-09b9fe35631e	1531960095084	square	mixed	false	false	false	false	false	false	false	false	false	blueSquare1	listener	postTest_object
experiment2_pilot	2506-5f9a6e22-2a88-419e-aae6-09b9fe35631e	1531960097437	square	mixed	false	false	false	false	false	false	false	false	false	blueSquare1	listener	postTest_object
experiment2_pilot	2506-5f9a6e22-2a88-419e-aae6-09b9fe35631e	1531960100028	square	mixed	false	false	false	false	false	false	false	false	false	blueSquare1	listener	postTest_object
experiment2_pilot	2506-5f9a6e22-2a88-419e-aae6-09b9fe35631e	1531960102981	square	mixed	false	false	false	false	false	false	false	false	false	blueSquare1	listener	postTest_object
experiment2_pilot	2506-5f9a6e22-2a88-419e-aae6-09b9fe35631e	1531960105181	square	mixed	false	false	false	false	false	false	false	false	false	blueSquare1	listener	postTest_object
experiment2_pilot	2506-5f9a6e22-2a88-419e-aae6-09b9fe35631e	1531960107317	square	mixed	false	false	false	false	false	false	false	false	false	blueSquare1	listener	postTest_object
